Course,Class,Qtd,S1,S2,S3,S4,S5,S6
ELSP01,S01,3,2N1,2N2,5T6,,,
ES70G,S63,3,6M1,6M2,6M3,,,
ES70G,S71,3,3M3,3M4,3M5,,,
ES70G,S73,3,5T3,5T4,5T5,,,
CSE20,S01,4,4M2,4M3,4M4,4M5,,
CSE20,S02,4,2M2,2M3,2M4,2M5,,
CSE20,S71,4,2M4,2M5,3M4,3M5,,
CSE20,S73,4,3T2,3T3,4T2,4T3,,
FCH7SC,S01,3,2M4,2M5,2M6,,,
CSG41,S73,3,4N1,4N2,4T6,,,
FCH7XG,S01,3,2T1,2T2,2T3,,,
CSA31,S71,3,5T4,5T5,5T6,,,
FCH7FC,S01,3,3T2,3T3,3T4,,,
CSA42,S73,4,4N1,4T4,4T5,4T6,,
GE71A,S73,4,3T1,3T2,5T1,5T2,,
GE72A,S73,4,2T1,2T2,6T4,6T5,,
CSW55,S71,3,5T2,5T3,5T4,,,
MA70E,S63,6,2M1,2M2,2M3,4M4,4M5,4M6
MA70E,S73,6,2T1,2T2,2T3,4T1,4T2,4T3
CSX40,S73,2,3N1,3T6,,,,
CSX20,S73,3,4T1,4T2,4T3,,,
CSX30,S73,3,3T4,3T5,3T6,,,
