Name,Code,Workload,University,PreReq1,PreReq2,PreReq3
PROJETO E ANÁLISE DE ALGORITMOS,CSA30,45,UTFPR,CSD21,CSF30,
ALGORITMOS E COMPLEXIDADE,CSA40,60,UTFPR,CSA31,,
COMPLEXIDADE COMPUTACIONAL,CSA41,60,UTFPR,CSA31,,
TEORIA DOS GRAFOS,CSA42,60,UTFPR,CSA31,,
COMPUTAÇÃO QUÂNTICA,CSA43,60,UTFPR,CSA31,,
INTRODUÇÃO À CRIPTOGRAFIA,CSA44,60,UTFPR,CSA30,MA70E,
GEOMETRIA COMPUTACIONAL,CSA45,60,UTFPR,CSA30,MA70E,
INTRODUÇÃO A BANCO DE DADOS,CSB30,60,UTFPR,CSD21,CSE20,CSF30
BIBLIOTECAS DIGITAIS,CSB40,60,UTFPR,CSB30,,
BANCO DE DADOS 2,CSB41,60,UTFPR,CSB30,,
COMPUTAÇÃO BASEADA EM DADOS,CSB42,45,UTFPR,CSB30,,
BANCO DE DADOS,CSB50,45,UTFPR,CSB30,,
RECUPERAÇÃO INTELIGENTE DE INFORMAÇÕES,CSB51,45,UTFPR,CSI30,,
DATA WAREHOUSING,CSB52,45,UTFPR,CSB30,,
INTRODUÇÃO A CIÊNCIAS DE DADOS,CSB53,60,UTFPR,CSB30,,
INTRODUCTION TO DATA SCIENCE,CSB54,60,UTFPR,CSB30,MA70H,
SIMULAÇÃO DE EVENTOS DISCRETOS,CSD40,60,UTFPR,MA70H,,
PROGRAMAÇÃO MATEMÁTICA,CSD41,45,UTFPR,CSA30,,
SIMULAÇÃO DE SISTEMAS BIOLÓGICOS E SOCIAIS,CSD42,45,UTFPR,CSF30,,
MODELAGEM E AVALIAÇÃO DE SISTEMAS,CSD45,60,UTFPR,CSG20,MA70H,
OTIMIZAÇÃO DE SISTEMAS,CSD47,45,UTFPR,,,
INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,CSD52,60,UTFPR,CSD21,,
TEORIA DE FILAS,CSD54,45,UTFPR,MA70E,MA70H,
MÉTODOS ESTOCÁSTICOS,CSD55,45,UTFPR,MA70E,MA70H,
METAHEURÍSTICA,CSD56,45,UTFPR,MA70E,MA70H,
ENGENHARIA DE REQUISITOS,CSE41,45,UTFPR,CSE40,,
METODOLOGIAS ÁGEIS PARA O DESENVOLVIMENTO DE SOFTWARE,CSE42,45,UTFPR,CSE40,,
"TESTES, VERIFICAÇÃO E VALIDAÇÃO DE SISTEMAS",CSE43,45,UTFPR,CSE40,,
SISTEMAS LEGADOS,CSE44,45,UTFPR,CSE20,,
MODELAGEM DE SOFTWARE,CSE45,45,UTFPR,CSE40,,
MÉTRICAS E ESTIMATIVAS DE SOFTWARE,CSE46,45,UTFPR,CSE40,,
GERÊNCIA DE PROJETOS,CSE47,45,UTFPR,CSE30,,
QUALIDADE DE SOFTWARE,CSE48,45,UTFPR,CSE40,,
ANÁLISE E PROJETO DE SISTEMAS,CSG20,45,UTFPR,CSE20,,
TECNOLOGIAS DA INFORMAÇÃO APLICADA À GESTÃO,CSG41,45,UTFPR,CSG30,,
GESTÃO DO CONHECIMENTO,CSG42,30,UTFPR,CSG30,,
SISTEMAS DE APOIO À DECISÃO,CSG43,60,UTFPR,CSI30,,
INFORMÁTICA EM SAÚDE,CSG44,60,UTFPR,CSG20,,
SISTEMAS DE INFORMAÇÃO EM SAÚDE,CSG45,60,UTFPR,CSG30,,
INTELIGÊNCIA COLETIVA E REDES SOCIAIS ELETRÔNICAS,CSG47,45,UTFPR,CSG10,CSG30,
MODELAGEM DE PROCESSOS DE NEGÓCIOS,CSG48,60,UTFPR,CSG20,,
SISTEMAS DE INFORMAÇÃO E ORGANIZAÇÕES,CSG70,45,UTFPR,CSG30,,
AVALIAÇÃO EM INTERAÇÃO HUMANO-COMPUTADOR,CSH41,45,UTFPR,CSH30,,
ACESSIBILIDADE E INCLUSÃO DIGITAL,CSH42,45,UTFPR,CSH30,,
TRABALHO COOPERATIVO APOIADO POR COMPUTADOR,CSH43,60,UTFPR,CSH30,ES70G,
COMPUTAÇÃO E SOCIEDADE,CSH44,45,UTFPR,CSH30,ES70G,
TÓPICOS EM DESIGN DE INTERAÇÃO,CSH45,60,UTFPR,CSH30,,
FUNDAMENTOS EM INTERAÇÃO,CSH50,45,UTFPR,CSH30,,
